wine_name,vintage,region,predict_score,target_score,predict_price,target_price
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2011,Saint-Estephe,92.76,92,249.22,141
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2010,Saint-Estephe,92.73,93,246.79,199
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2009,Saint-Estephe,92.7,94,244.36,192
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2008,Saint-Estephe,92.67,91,241.94,151
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2007,Saint-Estephe,92.64,89,239.51,139
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2006,Saint-Estephe,92.61,91,237.08,154
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2005,Saint-Estephe,92.58,93,234.65,181
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2004,Saint-Estephe,92.55,88,232.23,135
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2003,Saint-Estephe,92.52,92,229.8,161
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2002,Saint-Estephe,92.49,89,227.37,137
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2001,Saint-Estephe,92.46,88,224.94,160
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2000,Saint-Estephe,92.43,91,222.52,196
"Domaine Leflaive, Batard-Montrachet Grand Cru",2023,Cote de Beaune,94.61,-,1155.43,-
"Domaine Leflaive, Batard-Montrachet Grand Cru",2022,Cote de Beaune,94.61,-,1155.43,-
"Domaine Leflaive, Batard-Montrachet Grand Cru",2021,Cote de Beaune,94.55,96,1150.63,2194
"Domaine Leflaive, Batard-Montrachet Grand Cru",2020,Cote de Beaune,94.52,95,1148.22,1659
"Domaine Leflaive, Batard-Montrachet Grand Cru",2019,Cote de Beaune,94.49,96,1145.82,1461
"Domaine Leflaive, Batard-Montrachet Grand Cru",2018,Cote de Beaune,94.46,96,1143.41,1415
"Domaine Leflaive, Batard-Montrachet Grand Cru",2017,Cote de Beaune,94.43,95,1141.01,1358
"Domaine Leflaive, Batard-Montrachet Grand Cru",2016,Cote de Beaune,94.4,94,1138.61,1232
"Domaine Leflaive, Batard-Montrachet Grand Cru",2015,Cote de Beaune,94.37,94,1136.2,1181
"Domaine Leflaive, Batard-Montrachet Grand Cru",2014,Cote de Beaune,94.34,94,1133.8,1374
"Domaine Leflaive, Batard-Montrachet Grand Cru",2013,Cote de Beaune,94.31,94,1131.4,1130
"Domaine Leflaive, Batard-Montrachet Grand Cru",2012,Cote de Beaune,94.28,95,1128.99,1504
"Domaine Leflaive, Batard-Montrachet Grand Cru",2011,Cote de Beaune,94.25,94,1126.59,1348
"Domaine Leflaive, Batard-Montrachet Grand Cru",2010,Cote de Beaune,94.22,96,1124.19,1462
"Domaine Leflaive, Batard-Montrachet Grand Cru",2009,Cote de Beaune,94.19,94,1121.78,1478
"Domaine Leflaive, Batard-Montrachet Grand Cru",2008,Cote de Beaune,94.16,94,1119.38,1408
"Domaine Leflaive, Batard-Montrachet Grand Cru",2007,Cote de Beaune,94.13,94,1116.97,1378
"Domaine Leflaive, Batard-Montrachet Grand Cru",2006,Cote de Beaune,94.1,94,1114.57,1325
"Domaine Leflaive, Batard-Montrachet Grand Cru",2005,Cote de Beaune,94.07,95,1112.17,1253
"Domaine Leflaive, Batard-Montrachet Grand Cru",2004,Cote de Beaune,94.04,93,1109.76,1226
"Domaine Leflaive, Batard-Montrachet Grand Cru",2003,Cote de Beaune,94.01,91,1107.36,1244
"Domaine Leflaive, Batard-Montrachet Grand Cru",2002,Cote de Beaune,93.98,94,1104.96,1569
"Domaine Leflaive, Batard-Montrachet Grand Cru",2001,Cote de Beaune,93.95,92,1102.55,1320
"Domaine Leflaive, Batard-Montrachet Grand Cru",2000,Cote de Beaune,93.92,93,1100.15,1403
"Chateau Pavie Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2023,Saint-Emilion Grand Cru,94.46,-,427.22,-
"Chateau Pavie Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2022,Saint-Emilion Grand Cru,94.43,97,424.8,387
"Chateau Pavie Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2021,Saint-Emilion Grand Cru,94.4,94,422.39,312
"Chateau Pavie Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2020,Saint-Emilion Grand Cru,94.37,97,419.97,354
"Chateau Pavie Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2019,Saint-Emilion Grand Cru,94.34,96,417.56,368
"Chateau Pavie Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2018,Saint-Emilion Grand Cru,94.31,96,415.14,426
"Chateau Pavie Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2017,Saint-Emilion Grand Cru,94.28,95,412.72,381
"Chateau Pavie Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2016,Saint-Emilion Grand Cru,94.25,97,410.31,448
"Chateau Pavie Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2015,Saint-Emilion Grand Cru,94.22,95,407.89,423
"Chateau Pavie Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2014,Saint-Emilion Grand Cru,94.19,93,405.48,284
"Chateau Pavie Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2013,Saint-Emilion Grand Cru,94.16,91,403.06,262
"Chateau Pavie Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2012,Saint-Emilion Grand Cru,94.13,94,400.65,383
"Chateau Pavie Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2011,Saint-Emilion Grand Cru,94.1,92,398.23,264
"Chateau Pavie Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2010,Saint-Emilion Grand Cru,94.07,95,395.82,508
"Chateau Pavie Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2009,Saint-Emilion Grand Cru,94.04,94,393.4,416
